Year-Month,Value
1943-05,0.07
1943-06,-0.05
1943-07,0.08
1943-08,0.01
1943-09,0.05
1943-10,0.23
1943-11,0.2
1943-12,0.23
1944-01,0.36
1944-02,0.24
1944-03,0.26
1944-04,0.19
1944-05,0.19
1944-06,0.15
1944-07,0.18
1944-08,0.18
1944-09,0.28
1944-10,0.26
1944-11,0.11
1944-12,0.04
1945-01,0.1
1945-02,0.0
1945-03,0.06
1945-04,0.19
1945-05,0.06
1945-06,0.01
1945-07,0.03
1945-08,0.26
1945-09,0.2
1945-10,0.19
1945-11,0.07
1945-12,-0.06
1946-01,0.15
1946-02,0.03
1946-03,0.02
1946-04,0.06
1946-05,-0.07
1946-06,-0.21
1946-07,-0.12
1946-08,-0.2
1946-09,-0.08
1946-10,-0.07
1946-11,-0.05
1946-12,-0.31
1947-01,-0.06
1947-02,-0.07
1947-03,0.07
1947-04,0.06
1947-05,-0.01
1947-06,-0.01
1947-07,-0.04
1947-08,-0.07
1947-09,-0.12
1947-10,0.07
1947-11,0.03
1947-12,-0.13
1948-01,0.06
1948-02,-0.14
1948-03,-0.24
1948-04,-0.12
1948-05,-0.01
1948-06,-0.05
1948-07,-0.11
1948-08,-0.12
1948-09,-0.14
1948-10,-0.05
1948-11,-0.12
1948-12,-0.24
1949-01,0.07
1949-02,-0.14
1949-03,-0.02
1949-04,-0.11
1949-05,-0.1
1949-06,-0.27
1949-07,-0.13
1949-08,-0.13
1949-09,-0.15
1949-10,-0.06
1949-11,-0.1
1949-12,-0.18
1950-01,-0.26
1950-02,-0.27
1950-03,-0.08
1950-04,-0.21
1950-05,-0.11
1950-06,-0.05
1950-07,-0.08
1950-08,-0.16
1950-09,-0.11
1950-10,-0.2
1950-11,-0.34
1950-12,-0.21
1951-01,-0.34
1951-02,-0.41
1951-03,-0.2
1951-04,-0.14
1951-05,0.0
1951-06,-0.07
1951-07,-0.01
1951-08,0.06
1951-09,0.05
1951-10,0.08
1951-11,-0.01
1951-12,0.16
1952-01,0.11
1952-02,0.11
1952-03,-0.08
1952-04,0.03
1952-05,-0.03
1952-06,-0.03
1952-07,0.04
1952-08,0.05
1952-09,0.07
1952-10,0.0
1952-11,-0.13
1952-12,-0.02
1953-01,0.07
1953-02,0.15
1953-03,0.11
1953-04,0.2
1953-05,0.12
1953-06,0.12
1953-07,0.01
1953-08,0.05
1953-09,0.04
1953-10,0.08
1953-11,-0.03
1953-12,0.05
1954-01,-0.24
1954-02,-0.1
1954-03,-0.14
1954-04,-0.14
1954-05,-0.2
1954-06,-0.18
1954-07,-0.19
1954-08,-0.17
1954-09,-0.1
1954-10,-0.02
1954-11,0.08
1954-12,-0.18
1955-01,0.13
1955-02,-0.16
1955-03,-0.32
1955-04,-0.22
1955-05,-0.2
1955-06,-0.14
1955-07,-0.11
1955-08,0.02
1955-09,-0.11
1955-10,-0.05
1955-11,-0.25
1955-12,-0.28
1956-01,-0.13
1956-02,-0.24
1956-03,-0.21
1956-04,-0.28
1956-05,-0.29
1956-06,-0.16
1956-07,-0.09
1956-08,-0.26
1956-09,-0.19
1956-10,-0.23
1956-11,-0.15
1956-12,-0.06
1957-01,-0.09
1957-02,-0.03
1957-03,-0.05
1957-04,0.0
1957-05,0.09
1957-06,0.16
1957-07,0.02
1957-08,0.15
1957-09,0.09
1957-10,0.01
1957-11,0.08
1957-12,0.15
1958-01,0.39
1958-02,0.22
1958-03,0.08
1958-04,0.01
1958-05,0.06
1958-06,-0.08
1958-07,0.05
1958-08,-0.05
1958-09,-0.02
1958-10,0.04
1958-11,0.02
1958-12,0.01
1959-01,0.08
1959-02,0.07
1959-03,0.18
1959-04,0.16
1959-05,0.04
1959-06,0.03
1959-07,0.03
1959-08,-0.01
1959-09,-0.06
1959-10,-0.07
1959-11,-0.08
1959-12,0.0
1960-01,0.0
1960-02,0.13
1960-03,-0.35
1960-04,-0.15
1960-05,-0.08
1960-06,-0.04
1960-07,-0.04
1960-08,0.02
1960-09,0.07
1960-10,0.06
1960-11,-0.12
1960-12,0.19
1961-01,0.07
1961-02,0.19
1961-03,0.09
